""
apache / spark
apache / hadoop
jbhuang0604 / awesome-computer-vision
GSA / data
GoogleTrends / data
nationalparkservice / data
fivethirtyeight / data
beamandrew / medical-data
src-d / awesome-machine-learning-on-source-code
igrigorik / decisiontree
keon / awesome-nlp
openai / gym
aikorea / awesome-rl
umutisik / Eigentechno
jpmckinney / tf-idf-similarity
scikit-learn-contrib / lightning
gwding / draw_convnet
scikit-learn / scikit-learn
tensorflow / tensorflow
activeloopai / deeplake
